type	index	image	question	A	B	C	D	answer
frg	1	data/figure/frg/2023-07-23--化学制品-江瀚新材-硅烷行业领军企业，募投项目打开成长空间_page4_图1公司历史沿革.jpg	根据图中信息，功能性硅烷的直接前体是什么？	三氯氢硅	硅烷中间体	四氯化硅	无法确定	D
frg	2	data/figure/frg/2023-12-06--汽车零部件-伯特利-首次覆盖报告：线控制动领跑者，布局底盘一体化打开成长空间_page7_图5伯特利股权结构图.jpg	线控底盘系统中，哪个部分的市场占有率逐步提升并成为标配产品？	线控制动	无法确定	线控油门	线控换挡	B
frg	3	data/figure/frg/2023-06-19--电力行业-宝新能源-湾区民营火电龙头，盈利修复弹性逐显_page4_图表2宝新能源股权结构图截至2023Q1.jpg	宝新能源在2017年布局新金融产业的具体行动是什么？	投资建设陆丰甲湖湾（陆上）风电场一期项目	发起设立梅州客商银行（30%股权），布局金融产业	参股中广核汕尾海上风电	无法确定	D
frg	4	data/figure/frg/2023-12-05--汽车零部件-新坐标-精密冷锻件龙头，布局全产业链发展_page6_图7新坐标股权结构.jpg	根据图中的流程，哪个环节是设计之后的直接步骤？	无法确定	精加工	装配	检验	A
frg	5	data/figure/frg/2023-09-24--汽车零部件-上声电子-汽车声学稀缺标的，拓品类+拓客户持续发力_page3_图1公司发展历程.jpg	新泉股份在2022年第四季度业绩创新高的主要原因是？	客户订单持续放量	新能源汽车销量下滑	无法确定	合资外资客户减少	C
frg	6	data/figure/frg/2023-05-31--化学原料-宿迁联盛-国内受阻胺光稳剂龙头，两大基地拓展产业链布局_page13_图表15光稳定剂上下游产业链.jpg	根据图表，以下哪种原料不是生产己二腈的上游原料？	丁二烯氯化	丙烯腈电解	己二酸氢化	无法确定	D
frg	7	data/figure/frg/2023-04-30--汽车零部件-星源卓镁-汽车压铸件行业领跑，镁合金时代即将到来_page4_图1公司发展历程.jpg	根据图片内容，星源卓镁在2014-2016年期间的主要产品是什么？	铝合金电动自行车支架	镁合金汽车散热支架	无法确定	镁合金灯具类产品	C
frg	8	data/figure/frg/2023-11-30--医疗服务-金域医学-坚持创新和长期主义，ICL龙头开启发展新篇章_page20_图29Quest可检测的疾病类型分类.jpg	根据图片，ICL龙头在哪个领域计划实现超过2%的年增长率？	Health Plans	Hospital Health Systems	Advanced Diagnostics	无法确定	D
frg	9	data/figure/frg/2023-01-01--化学制品-鼎际得-国产聚烯烃催化剂龙头蓄势待发_page7_图表7常用的烯烃聚合催化剂的分类.jpg	图中用于增强改性塑料的复合助剂包含以下哪种抗氧剂？	无法确定	抗氧剂1010	其他抗氧剂	除酸剂	A
frg	10	data/figure/frg/2023-02-27--酿酒行业-青岛啤酒-深度报告：打铁自身硬，一意战高端_page4_图1青岛啤酒发展历程.jpg	青岛啤酒集团有限公司对青岛啤酒股份有限公司的持股比例是多少？	无法确定	67.5%	100%	50%	A
frg	11	data/figure/frg/2023-11-30--有色金属-云铝股份-绿电铝一体化龙头，享受长期成本优势_page5_图2公司股权架构截至2023年6月30日.jpg	以下哪个股东直接持有浙江华统肉制品股份有限公司的股权？	朱俭勇	朱俭军	无法确定	其他	C
